,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
197,Red Metal Tree Collar,69.99,34.99,50.0,5.0,1,Tree Collars,Red Metal Tree Collar,The Christmas Shoppe
198,"Bells, Bows & Pine Wired Edge Ribbon - 4""",13.99,6.99,50.0,0.0,0,Ribbon,"Bells, Bows & Pine Wired Edge Ribbon - 4""",Robert Stanley
199,Red & White Swirl Lollipop Tree Picks,8.99,4.49,50.0,0.0,0,Tree Picks,Red & White Swirl Lollipop Tree Picks,The Christmas Shoppe
200,All-Purpose Light Clips,8.99,6.74,25.0,0.0,0,Hardware & Clips,All-Purpose Light Clips,Hobby Lobby
201,Lobster Ornament,7.99,3.99,50.0,0.0,0,Themed & Fashion Ornaments,Lobster Ornament,Robert Stanley
202,White Foam Balls,4.99,2.49,50.0,0.0,0,Craft Supplies,White Foam Balls,Brother Sister Design Studio
203,Snowflake Suncatchers Craft Kit,1.99,0.99,50.0,0.0,0,Craft Kits,Snowflake Suncatchers Craft Kit,Brother Sister Design Studio
204,Glitter Poinsettia Bush,15.99,7.99,50.0,0.0,0,Floral Bushes & Greenery,Glitter Poinsettia Bush,Hobby Lobby
205,Durawise Micro LED Lights,16.99,12.74,25.0,5.0,3,LED Lights,Durawise Micro LED Lights,Hobby Lobby
206,LED Rice Lights with Timer,8.99,8.99,0.0,2.7,3,Glass Accessories,LED Rice Lights with Timer,Hobby Lobby
207,"Christmas Trees Scrapbook Paper - 12"" x 12""",0.69,0.41,40.0,0.0,0,Printed Paper Single Sheets,"Christmas Trees Scrapbook Paper - 12"" x 12""",the Paper Studio
208,"Blue, Gold & White Snowflakes Cotton Fabric",8.99,4.49,50.0,5.0,1,Christmas Fabric,"Blue, Gold & White Snowflakes Cotton Fabric",Hobby Lobby
209,Kraft Bags,3.99,3.99,0.0,5.0,1,Gift Bags,Kraft Bags,Brother Sister Design Studio
210,Truck Wood Wall Decor With Interchangeable Pieces,6.99,4.19,40.0,0.0,0,Shapes,Truck Wood Wall Decor With Interchangeable Pieces,Woodpile Fun!
