,Name,Sale Price,Rating,Number of Reviews,Category,Sub-Category,Brand
30,"OCATO 4PCS Fall Decor Thanksgiving Decorations for Home Table, Fall Leaves Garland Lights 40FT 80LED Halloween Indoor Outdoor Fall Home Room Decor Autumn Harvest Party Wedding Decorations",13.99,4.4,725.0,Home & Kitchen,Seasonal Décor,OCATO
31,"Thanksgiving Pumpkin Tea Lights Decorations, 12 Pack LED Orange Pumpkin Lights Flameless Candles Battery Operated, Fall Halloween Flickering Tealight Candle for Home Table Indoor Night Party Decor",9.99,4.7,46.0,Tools & Home Improvement,Lighting & Ceiling Fans,CESOF
32,Thanksgiving Fall Party Supplies - 175 PCS Thanksgiving Autumn Disposable Dinnerware Set (25 Guest) with Maple Leaves Gold Paper Plates Napkins Cups Plastic Forks Knives Spoon for Harvest Celebrations,19.99,4.5,21.0,Health & Household,Household Supplies,Qinline
33,iStatue Fall Harvest Owl Ornaments - 7’’ Resin Craft with Red Scarf and Pumpkin - Thanksgiving Table Decorations Centerpieces Decor for Shelf/Desk/Home/Office/Garden (Owl),8.99,4.7,28.0,"Patio, Lawn & Garden",Outdoor Décor,Unknown
34,Thanksgiving Party Decorations - 291 PCS Fall Birthday Party Supplies Disposable Dinnerware Set(25 Guest) with Maple Leaf Paper Plates Napkin Tablecloth Backdrop Balloon Garland Kit for Autumn Holiday,29.99,4.8,13.0,Toys & Games,Party Supplies,Qinline
35,2 Pack Fall Decor for Home Thanksgiving Decorations Lighted Fall Garland Maple Leaves Total 11.8FT 40 LED Battery Operated Indoor Outdoor String Lights Garland Autumn Harvest Party Halloween Décor,17.99,4.3,346.0,Home & Kitchen,Seasonal Décor,Yunaking
36,"Large Thanksgiving Banner Decorations Outdoor 72x44 Inch,Turkey Maple Leaf Pumpkin Decorations Gifts for Indoor Home House Decor Party Supplies,Yard Sign Background for Photography",9.99,4.7,158.0,Electronics,Camera & Photo,Sophena
37,"CKE 24 Inch Artificial Fall Tree Lighted Maple Tree Battery USB Operated w/Timer, 24 LED Thanksgiving Decorations Table Lights Tree for Autumn Wedding Party Gift Indoor Outdoor Harvest Home Decoration",18.99,4.4,246.0,Home & Kitchen,Home Décor Products,CKE
38,Thanksgiving Decorations Pre-Assembled GIVE THANKS Banner Hanging Swirls for Indoor Outdoor Thanksgiving Decor Thanksgiving Decorations for Home,15.99,4.7,70.0,Toys & Games,Party Supplies,N\C
39,"XiA MiLL 7P Fall Decor Fall Decorations for Home Thanksgiving Decorations Fall Tiered Tray Decor Bundle for Thanksgiving Harvest Day Tabletop Collection, Kitchen Living Room Bedroom (Tray NOT Included)",2.99,2.8,3.0,Home & Kitchen,Home Décor Products,XiA MiLL
40,"68 Pieces Thanksgiving Decorations, Thanksgiving Decor Include Givethanks Banner Thanksgiving Hanging Paper Fan Flower Maple Leaf Shaped Foil Balloon, Thanksgiving Decorations Indoor Party Decorations",19.98,0.0,0.0,Toys & Games,Party Supplies,InIsaJace
41,"Give Thanks Burlap Banner, Thanksgiving Banner Burlap, Thanksgiving Decorations, Reusable Pre-Strung Thanksgiving Decoration for Thanksgiving Party Supplies Fireplace Mantle Home Decor",9.99,4.6,239.0,Toys & Games,Party Supplies,Raleyooze
42,"Big Dipper Wax Works Red Candles, Hand Dipped Beeswax Taper Candles, 12-Hour Long Burn, Pure Beeswax Candle 12"" x 7/8""",12.49,4.6,47.0,Home & Kitchen,Home Décor Products,Big Dipper Wax Works
43,"kakoya Flameless LED Candles with Timer 5 Pc Flickering Flameless Candles for Romantic Ambiance and Home Decoration Durable Acrylic Shell,with Embedded Star String，Battery Operated Candles（Grey）",27.99,4.3,369.0,Tools & Home Improvement,Lighting & Ceiling Fans,kakoya
44,[8 Lighting Modes & Timer] 2Pcs Table Fall Decor Thanksgiving Decorations for Home Fall Garland with 1Pcs String Light 40LED Indoor Outdoor for Home Porch Autumn Halloween,17.99,4.1,38.0,Home & Kitchen,Seasonal Décor,OCATO
45,"Iconikal 2-Piece Toilet Seat Cling Decoration Set, Thanksgiving Turkey",3.99,4.2,94.0,Home & Kitchen,Bath,Iconikal
46,"Thanksgiving Turkey Candle Holder, Set of 4 Tea Light Candles Holders Holiday Candlestick Autumn Thanksgiving Decoration for Home, Table, Fireplace, Window",19.99,4.5,44.0,Home & Kitchen,Home Décor Products,SUJUN
47,"BLIKA 2 Pack Maple Tree Light for Fall Thanksgiving, 24""/2FT Lighted Maple Tree, Artificial Fall Lighted Maple Tree, Fall Tree Lights with Acorn & Pine Cones, Thanksgiving Decorations for Home",25.99,4.6,163.0,Home & Kitchen,Home Décor Products,BLIKA
48,"DawnHope Thanksgiving Decorations Fall Theme Party Supplies Paper Plates and Napkins with Tablecloth, Balloons, Stickers, Maple Leaves and Cupcake Toppers for Autumn Table Indoor Decor, Serves 24",27.99,4.7,91.0,Toys & Games,Party Supplies,DawnHope
