,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
732,"Northlight Pack of 6 Pink and Gold Snowflakes 2 Loop Christmas Bow Decorations 5.5""",18.49,15.99,14.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
733,"Northlight 14"" x 9"" Black and Green Plaid 6 Loop Christmas Bow Decoration",15.49,12.99,16.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
734,"Northlight 14"" x 9"" Red and Green Plaid 6 Loop Christmas Bow Decoration",15.49,12.99,16.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
735,"Northlight Pack of 6 Sheer Silver Snowflake 2 Loop Christmas Bow Decorations 5.5""",17.49,14.99,14.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
736,"Northlight 14"" x 9"" Red and White Striped 6 Loop Christmas Bow Decoration",16.49,13.99,15.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
737,"Northlight 12"" x 25"" Red 6-Loop Velveteen Christmas Bow Decoration",10.49,7.99,24.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
738,"Northlight 14"" x 9"" Sheer Silver Snowflake 6 Loop Christmas Bow Decoration",15.49,12.99,16.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
739,"Northlight 12"" x 25"" Burlap and Gold 10 Loop Christmas Bow Decoration",21.49,18.99,12.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
740,"Northlight 72"" Pre-Lit Red and White Glitter Candy Cane Christmas Outdoor Decoration",226.99,189.99,16.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
741,"Northlight 24"" x 38"" Red and Gold 4-Loop Velveteen Christmas Bow Decoration",19.99,16.99,15.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
742,"Northlight 10"" x 22"" Red 10-Loop Velveteen Christmas Bow Decoration",10.49,7.99,24.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
743,"Northlight 48"" White Pre-Lit Crystal 3D Sleigh Christmas Outdoor Decor",149.99,133.99,11.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
744,"Northlight Pack of 6 Buffalo Plaid and Burlap 2 Loop Christmas Bow Decorations 5.5""",17.49,14.99,14.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
745,"Northlight 14"" x 34"" Red 9-Loop Velveteen Christmas Bow Decoration",11.49,8.99,22.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
746,"Northlight 14"" x 9"" Gold Glitter Striped 6 Loop Christmas Bow Decoration",15.49,12.99,16.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
747,"Northlight 12"" x 24"" Red 4-Loop Velveteen Christmas Bow Decoration",10.49,7.99,24.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
748,"Northlight Pack of 14 Red Mini Velveteen Christmas Bow Decorations 3""",11.49,8.99,22.0,5.0,1,Christmas Decorations,Indoor Christmas Decorations,Northlight
749,"Northlight 47"" LED Lighted Twinkling Cool White Snowflake Christmas Outdoor Decoration",174.99,148.99,15.0,5.0,3,Christmas Decorations,Indoor Christmas Decorations,Northlight
750,"Northlight 48"" x 10"" Red and White Striped 16 Loop Christmas Bow Decoration",43.49,35.99,17.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
751,"Northlight 50"" Green and Black Plaid 16 Loop Christmas Bow Decoration",33.34,27.59,17.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
752,"Northlight Set of 3 Lighted Red and Gold Gift Boxes Christmas Outdoor Decorations 10""",99.99,83.99,16.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
753,"Northlight 14"" x 9"" Sheer and Gold Snowflake 6 Loop Christmas Bow Decoration",16.49,13.99,15.0,5.0,1,Christmas Decorations,Indoor Christmas Decorations,Northlight
754,"Northlight 14"" x 9"" Burlap and Buffalo Plaid 6 Loop Christmas Bow Decoration",15.49,12.99,16.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
755,"Northlight 34"" White Tinsel and Candy Stacked Gift Boxes Christmas Outdoor Decor",119.99,108.99,9.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
756,"Northlight 14"" x 9"" Red Glittered Poinsettia 6 Loop Christmas Bow Decoration",16.49,13.99,15.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
757,"Northlight Pack of 6 Gold Glitter Striped 2 Loop Christmas Bow Decorations 5.5""",17.49,14.99,14.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
