,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
2127,"Classic Christmas Framed Nutcracker Canvas Wall Art, 12x24",$69.99,$24.99,64%,5,5,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
2128,"Bird Metal Wall Art, 32x12",$69.99,$24.99,64%,5,4,Christmas Inflatables & Outdoor Decor,Porch Decor,Ty Pennington
2129,25-Count LED Transparent Multicolor C9 String Lights with Green Wire,$69.99,$24.99,64%,4.3,4,Christmas Inflatables & Outdoor Decor,Porch Decor,
2130,"Pig with Bow Canvas Wall Art, 18""",$69.99,$24.99,64%,5,6,Christmas Inflatables & Outdoor Decor,Porch Decor,
2131,"Glittered Cocoa Ornament, 3.9""",$69.99,$24.99,64%,4.8,5,Christmas Inflatables & Outdoor Decor,Porch Decor,Gingerbread Lane
2132,12-Count Matte Green Glass Ornaments,$69.99,$24.99,64%,5,3,Christmas Inflatables & Outdoor Decor,Porch Decor,
2133,"Snow Covered Wooden Christmas Tree, 12""",$69.99,$24.99,64%,5,4,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
2134,18-Count Red Mix Glass Ornaments,$69.99,$24.99,64%,4.7,3,Christmas Inflatables & Outdoor Decor,Porch Decor,
2135,Set of 2 Brass Mantle Clip Stocking Holders,$69.99,$24.99,64%,4,6,Christmas Inflatables & Outdoor Decor,Porch Decor,
2136,"Pink Tinsel Swirl Clip Ornament, 7""",$69.99,$24.99,64%,5,7,Christmas Inflatables & Outdoor Decor,Porch Decor,
2137,"White Chunky Sequin Stocking, 20""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,
2138,"Merry Christmas Table Sign, 12""",$69.99,$24.99,64%,4.9,10,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
2139,"Champagne Linen Monogram Stocking, D",$69.99,$24.99,64%,4.9,12,Christmas Inflatables & Outdoor Decor,Porch Decor,
2140,"Gingerbread Family Ornament, 4""",$69.99,$24.99,64%,5,4,Christmas Inflatables & Outdoor Decor,Porch Decor,Gingerbread Lane
2141,"Dotted White Plush Stocking, 20""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,
